Strength,Gender,Category,Letters,Mean_per300,SD_per300,CI_lower,CI_upper
Strong,Female,standout,1600,2.8794,1.374,2.812,2.9468
Strong,Female,ability,1600,2.0215,1.4674,1.9496,2.0935
Strong,Female,grindstone,1600,1.2463,1.0725,1.1937,1.2989
Strong,Female,communal,1600,6.4649,1.7418,6.3794,6.5503
Strong,Female,agentic,1600,6.808,2.0424,6.7079,6.9082
Strong,Female,competitive,1600,3.6592,1.6421,3.5787,3.7397
Strong,Male,standout,1600,2.6399,1.3427,2.5741,2.7058
Strong,Male,ability,1600,1.9676,1.4817,1.8949,2.0403
Strong,Male,grindstone,1600,1.3267,1.0817,1.2737,1.3797
Strong,Male,communal,1600,6.5408,1.7649,6.4542,6.6273
Strong,Male,agentic,1600,6.6664,2.0087,6.5679,6.7649
Strong,Male,competitive,1600,3.6956,1.6568,3.6143,3.7768
Strong,Nonbinary,standout,1600,2.7573,1.2638,2.6953,2.8193
Strong,Nonbinary,ability,1600,1.9562,1.4812,1.8836,2.0288
Strong,Nonbinary,grindstone,1600,1.1043,0.9862,1.0559,1.1527
Strong,Nonbinary,communal,1600,6.7368,1.7788,6.6495,6.824
Strong,Nonbinary,agentic,1600,6.6575,1.9722,6.5608,6.7542
Strong,Nonbinary,competitive,1600,3.4111,1.5584,3.3346,3.4875
Moderate,Female,standout,1600,1.5855,1.163,1.5285,1.6425
Moderate,Female,ability,1600,2.103,1.6171,2.0237,2.1823
Moderate,Female,grindstone,1600,2.0409,1.4813,1.9683,2.1135
Moderate,Female,communal,1600,5.3005,1.9486,5.205,5.3961
Moderate,Female,agentic,1600,6.6502,1.949,6.5547,6.7458
Moderate,Female,competitive,1600,2.9709,1.5743,2.8937,3.0481
Moderate,Male,standout,1600,1.5182,1.1272,1.4629,1.5734
Moderate,Male,ability,1600,2.137,1.6023,2.0585,2.2156
Moderate,Male,grindstone,1600,1.8189,1.4402,1.7483,1.8895
Moderate,Male,communal,1600,5.146,1.8851,5.0535,5.2384
Moderate,Male,agentic,1600,6.4444,1.9053,6.351,6.5379
Moderate,Male,competitive,1600,2.8544,1.559,2.7779,2.9308
Moderate,Nonbinary,standout,1600,1.5636,1.2059,1.5044,1.6227
Moderate,Nonbinary,ability,1600,2.2643,1.6096,2.1854,2.3432
Moderate,Nonbinary,grindstone,1600,1.5546,1.3069,1.4905,1.6186
Moderate,Nonbinary,communal,1600,5.3329,1.9358,5.238,5.4278
Moderate,Nonbinary,agentic,1600,6.5623,2.0154,6.4635,6.6611
Moderate,Nonbinary,competitive,1600,2.8467,1.5997,2.7683,2.9252
Combined,Female,standout,3200,2.2325,1.4277,2.183,2.2819
Combined,Female,ability,3200,2.0623,1.5444,2.0088,2.1158
Combined,Female,grindstone,3200,1.6436,1.3527,1.5967,1.6905
Combined,Female,communal,3200,5.8827,1.9374,5.8155,5.9498
Combined,Female,agentic,3200,6.7291,1.9975,6.6599,6.7984
Combined,Female,competitive,3200,3.315,1.6447,3.258,3.372
Combined,Male,standout,3200,2.0791,1.3605,2.0319,2.1262
Combined,Male,ability,3200,2.0523,1.5453,1.9988,2.1059
Combined,Male,grindstone,3200,1.5728,1.297,1.5278,1.6178
Combined,Male,communal,3200,5.8434,1.9544,5.7756,5.9111
Combined,Male,agentic,3200,6.5554,1.9605,6.4874,6.6234
Combined,Male,competitive,3200,3.275,1.6625,3.2173,3.3326
Combined,Nonbinary,standout,3200,2.1604,1.3717,2.1129,2.208
Combined,Nonbinary,ability,3200,2.1102,1.5542,2.0564,2.1641
Combined,Nonbinary,grindstone,3200,1.3294,1.1792,1.2886,1.3703
Combined,Nonbinary,communal,3200,6.0348,1.9868,5.966,6.1037
Combined,Nonbinary,agentic,3200,6.6099,1.9942,6.5408,6.679
Combined,Nonbinary,competitive,3200,3.1289,1.6039,3.0733,3.1845
