Strength,Racial_Group,Gender,Category,Letters,Mean_per300,SD_per300,CI_lower,CI_upper
Strong,Asian,Female,standout,320,2.721,1.2746,2.5808,2.8612
Strong,Asian,Female,ability,320,1.9922,1.4867,1.8287,2.1557
Strong,Asian,Female,grindstone,320,1.3083,1.1258,1.1845,1.4322
Strong,Asian,Female,communal,320,6.5848,1.758,6.3914,6.7781
Strong,Asian,Female,agentic,320,6.7266,2.1104,6.4945,6.9587
Strong,Asian,Female,competitive,320,3.5808,1.5914,3.4057,3.7558
Strong,Asian,Male,standout,320,2.6418,1.3167,2.497,2.7866
Strong,Asian,Male,ability,320,1.8742,1.4966,1.7096,2.0388
Strong,Asian,Male,grindstone,320,1.323,1.0779,1.2045,1.4416
Strong,Asian,Male,communal,320,6.5015,1.677,6.317,6.6859
Strong,Asian,Male,agentic,320,6.4854,2.0169,6.2636,6.7073
Strong,Asian,Male,competitive,320,3.6596,1.6866,3.4741,3.8451
Strong,Asian,Nonbinary,standout,320,2.8285,1.3583,2.6791,2.9779
Strong,Asian,Nonbinary,ability,320,1.8853,1.4707,1.7236,2.0471
Strong,Asian,Nonbinary,grindstone,320,1.1738,1.0313,1.0604,1.2873
Strong,Asian,Nonbinary,communal,320,6.6784,1.8973,6.4697,6.887
Strong,Asian,Nonbinary,agentic,320,6.743,2.0831,6.5139,6.9721
Strong,Asian,Nonbinary,competitive,320,3.4841,1.4542,3.3242,3.6441
Strong,Black,Female,standout,320,3.0177,1.4446,2.8588,3.1766
Strong,Black,Female,ability,320,2.144,1.4561,1.9839,2.3042
Strong,Black,Female,grindstone,320,1.2385,1.055,1.1224,1.3545
Strong,Black,Female,communal,320,6.2372,1.6495,6.0557,6.4186
Strong,Black,Female,agentic,320,6.9503,2.1039,6.7189,7.1816
Strong,Black,Female,competitive,320,3.7584,1.6373,3.5783,3.9384
Strong,Black,Male,standout,320,2.6322,1.3372,2.4852,2.7793
Strong,Black,Male,ability,320,1.9985,1.4823,1.8355,2.1616
Strong,Black,Male,grindstone,320,1.3225,1.0422,1.2078,1.4371
Strong,Black,Male,communal,320,6.3537,1.8312,6.1523,6.5551
Strong,Black,Male,agentic,320,6.6364,1.9655,6.4202,6.8526
Strong,Black,Male,competitive,320,3.6578,1.6239,3.4792,3.8364
Strong,Black,Nonbinary,standout,320,2.8136,1.214,2.6801,2.9471
Strong,Black,Nonbinary,ability,320,1.9816,1.5608,1.8099,2.1533
Strong,Black,Nonbinary,grindstone,320,1.0893,0.9586,0.9838,1.1947
Strong,Black,Nonbinary,communal,320,6.6456,1.7115,6.4574,6.8339
Strong,Black,Nonbinary,agentic,320,6.5861,2.0562,6.3599,6.8122
Strong,Black,Nonbinary,competitive,320,3.3703,1.5567,3.1991,3.5415
Strong,Hawaiian/Pacific Islander,Female,standout,320,2.8087,1.4755,2.6464,2.971
Strong,Hawaiian/Pacific Islander,Female,ability,320,1.8822,1.4567,1.722,2.0425
