Strength,Racial_Group,Category,Letters,Mean_per300,SD_per300,CI_lower,CI_upper
Strong,Asian,standout,960,2.7304,1.3178,2.647,2.8139
Strong,Asian,ability,960,1.9172,1.4841,1.8232,2.0112
Strong,Asian,grindstone,960,1.2684,1.08,1.2,1.3368
Strong,Asian,communal,960,6.5882,1.7794,6.4755,6.7009
Strong,Asian,agentic,960,6.6517,2.0717,6.5205,6.7829
Strong,Asian,competitive,960,3.5748,1.5803,3.4747,3.6749
Strong,Black,standout,960,2.8212,1.3431,2.7361,2.9063
Strong,Black,ability,960,2.0414,1.5006,1.9463,2.1364
Strong,Black,grindstone,960,1.2167,1.023,1.1519,1.2815
Strong,Black,communal,960,6.4121,1.7391,6.302,6.5223
Strong,Black,agentic,960,6.7242,2.0469,6.5946,6.8539
Strong,Black,competitive,960,3.5955,1.6131,3.4933,3.6977
Strong,Hawaiian/Pacific Islander,standout,960,2.7676,1.3555,2.6817,2.8534
Strong,Hawaiian/Pacific Islander,ability,960,1.9919,1.4811,1.8981,2.0857
Strong,Hawaiian/Pacific Islander,grindstone,960,1.1803,1.0335,1.1149,1.2458
Strong,Hawaiian/Pacific Islander,communal,960,6.6128,1.7867,6.4997,6.726
Strong,Hawaiian/Pacific Islander,agentic,960,6.6826,1.9537,6.5588,6.8063
Strong,Hawaiian/Pacific Islander,competitive,960,3.4423,1.6196,3.3398,3.5449
Strong,Hispanic/Latinx,standout,960,2.7986,1.3429,2.7136,2.8837
Strong,Hispanic/Latinx,ability,960,1.9508,1.4461,1.8592,2.0424
Strong,Hispanic/Latinx,grindstone,960,1.1905,1.0558,1.1236,1.2573
Strong,Hispanic/Latinx,communal,960,6.6391,1.8005,6.525,6.7531
Strong,Hispanic/Latinx,agentic,960,6.7169,2.0103,6.5895,6.8442
Strong,Hispanic/Latinx,competitive,960,3.6715,1.6362,3.5678,3.7751
Strong,White,standout,960,2.6767,1.2923,2.5948,2.7585
Strong,White,ability,960,2.0075,1.4713,1.9144,2.1007
Strong,White,grindstone,960,1.2729,1.0628,1.2056,1.3402
Strong,White,communal,960,6.6518,1.7121,6.5433,6.7602
